event_date,employer,organization_firm,total_cost,category,target,groups_invited
02/24/26,"Pepco Holdings, LLC.","Pepco Holdings, LLC",2890.17,Gas/Electric Utility,Senate EEE only,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)"
02/24/26,Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),"Compass Government Relations Partners, LLC",5572.1,Renewable Energy,House ENT only,House Environment and Transportation Committee
02/25/26,Washington Gas,PerryJacobson,15003.75,Gas/Electric Utility,Senate EEE only,"House Economic Matters Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)"
02/26/26,"Maryland - American Water Company, Inc.","Compass Government Relations Partners, LLC",5082.76,Other Interest,House ENT only,House Environment and Transportation Committee; Senate Finance Committee
03/03/26,Delmarva Chicken Association,Delmarva Chicken Association,2198.5,Other Interest,Senate EEE only,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)"
03/04/26,Baltimore Gas and Electric Company,Baltimore Gas and Electric,2588.9,Gas/Electric Utility,Senate EEE only,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)"
03/04/26,"Lifebridge Health, Inc.",LifeBridge Health,5181.17,Other Interest,Senate EEE only,"House Appropriations Committee; House Economic Matters Committee; House Judiciary Committee; House Rules and Executive Nominations Committee; House Ways and Means Committee; Senate Budget and Taxation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee); Senate Finance Committee; Senate Judicial Proceedings Committee; Senate Rules Committee; House Health Committee"
03/05/26,Chaberton Energy,"Funk & Bolton, P.A.",3917.98,Renewable Energy,House ENT only,House Environment and Transportation Committee
03/10/26,"Coalition for Community Solar Access, Inc.","Compass Government Relations Partners, LLC",3677.24,Renewable Energy,House ENT only,House Environment and Transportation Committee
03/11/26,Maryland Chamber of Commerce,Maryland Chamber of Commerce,4644.56,Other Interest,House ENT only,House Environment and Transportation Committee
03/25/26,"Pica & Associates, LLC","Pica & Associates, LLC",375,Other Interest,Senate EEE only,"Senate Budget and Taxation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)"
