Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Event Date,Total Cost,Groups Invited,Sponsors
E001453,"Wise, J. Steven","Schwartz, Metz, Wise & Kauffman, P.A.",United Therapeutics Corporation,03/18/25,18300,General Assembly,"United Therapeutics Corporation; DaVita, Inc.; Patient First; Waste Management, Inc.; Schwartz, Metz, Wise & Kauffman, P.A."
E001505,"Fiastro, John Carl, Jr.",Fiastro Consulting,"Fiastro Consulting, Inc.",08/14/25,18012.35,General Assembly,"Fiastro Consulting, Inc.; Vicinity Energy, LLC; Schneider Electric Buildings America, Inc.; Amazon.com Services LLC"
E001486,"Williams, Lisa B.",Baltimore City Medical Society,Baltimore City Medical Society,06/21/25,17745,Baltimore City Delegation,Baltimore City Medical Society; Sinai Hospital; Johns Hopkins University & Medicine; Medical Mutual; Unity Insurance
E001298,"Reynolds, Patrick  Thomas",AFT-Maryland,American Federation of Teachers - Maryland,01/13/25,17647.98,General Assembly,American Federation of Teachers - Maryland
E001490,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",08/14/25,16395.75,General Assembly,"Compass Government Relations Partners, LLC; Aetna; CTIA; Workday; Professional Firefighters of MD; CFG Health; Coinbase; Maryland Live!; Lockheed Martin"
E001309,"Porter, Holly ",Delmarva Chicken Association,Delmarva Chicken Association,02/04/25,16292.7,General Assembly; House of Delegates,Delmarva Chicken Association; Horizon Farm Credit; Mountaire Farms; Perdue Farms; Amick Farms; Allen Harim; Tyson Foods
E001272,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/18/25,14393.4,House Health and Government Operations Committee; House Ways and Means Committee,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Allegany County Gov; Ashley Inc.; Baltimore Symphony Orchestra; Berkshire Hathaway Energy; Brewers Association of Maryland; Brown Advisory; Cable Telecommunications of MD, DE, & DC; Canton Group; CBAC Gaming; Celebree School; Children's National Health System; Colonial Pipeline; Curio Wellness; Enterprise; Fair Hill Condominium Association; FedEx Corporation; Gaudenzia; H&R Block; Hims, Inc.; Horizon Land Company; Humanim; JMI Equity ; Light & Wonder; Maryland Academy Pediatric Dentistry; Maryland Auto Dealers Assoc.; Maryland Physicians Care MCO; Maryland Realtors; Maryland Wineries Association; Nareit; Pharmaceutical Care Management Assoc.; Pepco; Premium Cigar Rettailers Assoc. of MD; Real Time Medical Systems; Sheppard Pratt Health Systems; Skyline Technology Solutions; Story of Maryland; ThinkBig Networks; UPMC Western Maryland; Washington Area New Auto Dealers Assoc.; Xcaliber"
E001396,"Harvey, Tiffany L",Cornerstone Government Affairs,Maryland-Delaware-DC Beverage Association,03/11/25,14372.88,General Assembly,Maryland-Delaware-DC Beverage Association
E001458,"Kraska, Jenny ",Maryland Catholic Conference,Maryland Catholic Conference,04/07/25,14345,General Assembly,Maryland Catholic Conference; HB Strategies; G. S. Proctor & Associates; Manis Canning & Associates; Maryland Beer Wholesalers Association; Cable Television Association of Maryland & Delaware
E001303,"Wyatt, Joseph R.",Association of Maryland Pilots,Baltimore Port Alliance,01/14/25,13882.5,General Assembly,Baltimore Port Alliance
E001485,"Neil, John B.","Jack Neil & Associates, LLC","American Society of Landscape Architects, MD Chapter",06/18/25,13500,"House Environment and Transportation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)","American Society of Landscape Architects, MD Chapter; American Society of Landscape Artchitects"
E001328,"Perry, Tim ",PerryJacobson,Anheuser-Busch Companies,02/18/25,13416.31,House Economic Matters Committee; Senate Finance Committee,Anheuser-Busch Companies
